,Tissue Type,nCDR3_IGH,nReads_IGH
1798,Small Intestine - Terminal Ileum,13,1.04672330097
1834,Small Intestine - Terminal Ileum,2414,217.067028284
1888,Small Intestine - Terminal Ileum,3907,174.041297935
1946,Small Intestine - Terminal Ileum,2155,236.507936508
2157,Small Intestine - Terminal Ileum,1271,52.3944620971
2166,Small Intestine - Terminal Ileum,37,1.8611521418
2257,Small Intestine - Terminal Ileum,4464,373.181377304
2329,Small Intestine - Terminal Ileum,2470,135.342136855
2476,Small Intestine - Terminal Ileum,45,1.55736286555
2576,Small Intestine - Terminal Ileum,2244,219.06323185
2975,Small Intestine - Terminal Ileum,2531,253.557692308
3056,Small Intestine - Terminal Ileum,42,2.56191289496
3166,Small Intestine - Terminal Ileum,696,39.4448138298
3249,Small Intestine - Terminal Ileum,2186,195.26484751200002
3482,Small Intestine - Terminal Ileum,17554,2784.59079284
3660,Small Intestine - Terminal Ileum,1545,166.941041348
3831,Small Intestine - Terminal Ileum,838,52.0744680851
4081,Small Intestine - Terminal Ileum,1045,61.774695726000004
4194,Small Intestine - Terminal Ileum,55,2.78359772523
4398,Small Intestine - Terminal Ileum,53,3.64213672021
4532,Small Intestine - Terminal Ileum,2977,456.32003585800004
4572,Small Intestine - Terminal Ileum,1898,111.40278917100001
4656,Small Intestine - Terminal Ileum,2002,145.175064048
4658,Small Intestine - Terminal Ileum,1604,113.560820368
4689,Small Intestine - Terminal Ileum,1761,111.95756991299999
4895,Small Intestine - Terminal Ileum,1982,130.41219258700002
4896,Small Intestine - Terminal Ileum,770,54.840049854600004
5009,Small Intestine - Terminal Ileum,12,0.904522613065
5037,Small Intestine - Terminal Ileum,1431,90.7497565725
5114,Small Intestine - Terminal Ileum,915,66.7804323094
5118,Small Intestine - Terminal Ileum,2109,169.310482264
5317,Small Intestine - Terminal Ileum,3708,413.362369338
5333,Small Intestine - Terminal Ileum,4237,378.515625
5369,Small Intestine - Terminal Ileum,2696,312.024456522
5471,Small Intestine - Terminal Ileum,2930,203.737259343
5637,Small Intestine - Terminal Ileum,654,38.289473684200004
5842,Small Intestine - Terminal Ileum,2948,337.638962414
5929,Small Intestine - Terminal Ileum,1397,93.4356047092
6090,Small Intestine - Terminal Ileum,1435,68.2307692308
129,Spleen,2978,387.53753753800004
231,Spleen,5448,462.822844671
302,Spleen,2211,134.85816509100002
387,Spleen,2230,214.139941691
397,Spleen,3615,350.101368474
403,Spleen,5381,360.223394353
452,Spleen,6255,477.484955385
555,Spleen,7522,700.069348128
563,Spleen,9546,2535.27533919
631,Spleen,1559,75.0344510795
642,Spleen,5456,543.538511118
823,Spleen,8469,1096.191052
825,Spleen,4432,382.273262662
1236,Spleen,14121,1309.10942167
1237,Spleen,10501,2204.2997543
1242,Spleen,2830,324.746008708
1284,Spleen,7970,946.436716078
1523,Spleen,3536,226.33587786299998
1577,Spleen,1627,127.77290662
1880,Spleen,2680,377.733860343
1906,Spleen,5473,747.122524752
1974,Spleen,7099,551.59148398
1983,Spleen,4029,292.60948905099997
2152,Spleen,8607,1034.28414701
2255,Spleen,3436,470.49418604699997
2291,Spleen,2417,217.367119901
2560,Spleen,5787,812.05078125
2634,Spleen,3242,330.926594465
2847,Spleen,6200,691.172761665
2917,Spleen,725,41.237541528200005
3269,Spleen,2904,238.04868316
3271,Spleen,3548,245.22037779
3272,Spleen,7497,1062.52208481
3279,Spleen,4194,385.5028463
3303,Spleen,5987,718.230736117
3444,Spleen,3073,395.063204646
3575,Spleen,6989,873.0845573639999
3605,Spleen,13773,850.587406015
3792,Spleen,2227,415.10695187199997
3830,Spleen,5442,561.281708945
3915,Spleen,7046,588.08793456
4006,Spleen,4285,502.755267423
4013,Spleen,12453,1594.24908425
4094,Spleen,3447,268.84290879900004
4129,Spleen,3644,343.85832705400003
4245,Spleen,1185,154.03846153799998
4351,Spleen,3764,217.64127073400002
4359,Spleen,3192,210.87962963
4449,Spleen,3381,527.527405603
4494,Spleen,10220,725.0941756010001
4601,Spleen,2563,302.39857862
4694,Spleen,1621,269.93517017799996
4804,Spleen,7498,4574.06136455
4863,Spleen,1977,199.65572033900003
4911,Spleen,2049,252.743902439
4938,Spleen,3781,341.120162933
4985,Spleen,3490,552.464028777
5028,Spleen,3082,213.61480075900002
5033,Spleen,11588,2441.31961867
5104,Spleen,2,0.130548302872
5158,Spleen,6677,509.09970958400004
5218,Spleen,11527,1386.15635179
5256,Spleen,2699,226.21722846400002
5363,Spleen,4828,592.909896603
5379,Spleen,3391,361.689961881
5388,Spleen,8921,2103.81930185
5433,Spleen,3640,459.77224576300006
5549,Spleen,4693,528.350730689
5590,Spleen,7153,1136.71003717
5608,Spleen,8864,1926.86200378
5665,Spleen,2020,204.909284952
5722,Spleen,5354,841.605166052
5827,Spleen,12035,2895.64631957
5855,Spleen,9859,1435.38527154
5900,Spleen,11506,1449.34792734
5919,Spleen,2002,248.273415326
5931,Spleen,5714,267.09513980099996
6023,Spleen,5583,1274.62727775
6040,Spleen,8043,1019.36538462
